course_code,course_title,u,has_asterisk
CE F342,Water & Waste Water Treatment,4,No
CE F420,Introduction to Bridge Engineering,3,No
CE F422,Urban Hydrology,3,No
CE F425,Airport, Railways and Waterways,3,No
CE F428,Earthquake Resistant Design and Construction,3,No
ME G513,Heating and Cooling of Buildings,5,No
AUE F423,Machine Learning in Design Optimization,3,No
AUE F425,Building Information Modeling (BIM),3,No
CE F416,Computer Applications in Civil Engineering,4,No
AUE F211,Basic Design for Civil Engineering Visualization,3,No
CE F417,Applications of Artificial Intelligence in Civil Engineering,3,No
AUE F212,Structural Mechanics,3,No
AUE F213,Fluid Mechanics and Applications,3,No
CE F431,Principles of Geographical Information Systems,4,No
AUE F241,Architectural Design Studio I,3,No
AUE F242,Building Construction & Technology,3,No
CE F433,Remote Sensing and Image Processing,4,No
AUE F243,Construction Economics,3,No
AUE F424,Construction Management,4,No
BITS F469,Financing Infrastructure projects,3,No
AUE F311,Architectural Design Studio,3,No
AUE F312,Geotechnical Design,3,No
AUE F313,Design of Reinforced Concrete structures,3,No
CE F427,System Modeling and Analysis,3,No
AUE F314,Highway Planning, Analysis and Design,4,No
BIOT F211,Biological Chemistry,3,No
BIOT F212,Microbiology,4,No
BIOT F213,Cell biology,3,No
BIOT F215,Biophysics,3,No
BIOT F241,Genetic Engineering Techniques,4,No
BIOT F243,Genetics,3,No
BIOT F244,Instrumental Methods of Analysis,4,No
BIOT F245,Intro to Environmental Biotechnology,3,No
BIOT F311,Recombinant DNA Technology,3,No
BIOT F314,Industrial Microbiology and Bioprocess Engineering,2,No
BIOT F342,Immunology,3,No
BIOT F343,Experiments in Biotechnology,3,No
BIOT F344,Downstream Processing,3,No
AUE F341,Urban Planning and Sustainable Communities,3,No
AUE F342,Building Acoustics and Lighting Design,2,No
AUE F343,Design of steel structures,3,No
AUE F344,Directed Research in Architecture - I,1,No
AUE F345,Directed Research in Architecture - II,4,No
CE F230,Civil Engineering Materials,4,No
AUE F361,Landscape Architecture,3,No
AUE F362,Building Services,3,No
AUE F421,Renewable Energy Systems in Buildings,3,No
CE F323,Introduction to Environmental Engineering,3,No
CE F423,Green Building and Energy Conservation,3,No
CE F434,Environmental Impact Assessment,3,No
ME F433,Solar Thermal Process Engineering,4,No
AUE F422,Urban Mass Transit Planning, Operations and Management,4,No
CE F321,Engineering Hydrology,3,No
BIOT F242,Introduction to Bioinformatics,3,No
BIOT F345,Proteomics,3,No
BIOT F346,Genomics,3,No
BIOT F347,Immunotechnology,3,No
BIOT F352,Cell and Tissue Culture Technology,3,No
BIOT F413*,Molecular Biology of the Cell,3,Yes
BIOT F416,Introduction to Pharmaceutical Biotechnology,3,No
BIOT F417,Biomolecular Modeling,3,No
BIOT F420,Introduction to Plant Biotechnology,3,No
BIOT F422,Nanobiotechnology,3,No
BIOT F423,Drug design and delivery,3,No
BIOT F424,Food Biotechnology,3,No
BITS F467,Bioethics and Biosafety,3,No
CHE F241,Heat Transfer,3,No
CHE F242,Numerical Methods for Chemical Engineers,3,No
CHE F243,Material Science and Engg.,3,No
CHE F244,Separation Processes I,3,No
CHE F311,Kinetics and Reactor Design,3,No
CHE F312,Chemical Engineering Lab I,3,No
CHE F313,Separation Processes II,3,No
CHE F314,Process Design Principles I,3,No
CHE F341,Chemical Engineering Lab II,3,No
CHE F342,Process Dynamics and Control,3,No
CHE F343,Process Design Principles II,3,No
BIO G671,Bioconversion Technology,3,No
BITS F415,Introduction to MEMS,4,No
BITS F416,Introduction to Nanoscience,3,No
BITS F417,Microfluidics and its application,4,No
BITS F418,Introduction to Biomedical Engineering,4,No
BITS F429,Nanotechnology for Renewable Energy and Environment,4,No
CHE F315,Machine Learning for Chemical Engineers,3,No
CHE F316,Sustainable Energy Systems,3,No
CHE F317,Energy Systems Engineering,3,No
